GroupName,GroupDescription
'Dairy and Egg Products','decription of food groupDairy and Egg Products'
'Spices and Herbs','decription of food groupSpices and Herbs'
'Baby Foods','decription of food groupBaby Foods'
'Fats and Oils','decription of food groupFats and Oils'
'Poultry Products','decription of food groupPoultry Products'
'Soups Sauces and Gravies','decription of food groupSoups Sauces and Gravies'
'Sausages and Luncheon Meats','decription of food groupSausages and Luncheon Meats'
'Breakfast Cereals','decription of food groupBreakfast Cereals'
'Fruits and Fruit Juices','decription of food groupFruits and Fruit Juices'
'Pork Products','decription of food groupPork Products'
'Vegetables and Vegetable Products','decription of food groupVegetables and Vegetable Products'
'Nut and Seed Products','decription of food groupNut and Seed Products'
'Beef Products','decription of food groupBeef Products'
'Beverages','decription of food groupBeverages'
'Finfish and Shellfish Products','decription of food groupFinfish and Shellfish Products'
'Legumes and Legume Products','decription of food groupLegumes and Legume Products'
'Lamb Veal and Game Products','decription of food groupLamb Veal and Game Products'
'Baked Products','decription of food groupBaked Products'
'Sweets','decription of food groupSweets'
'Cereal Grains and Pasta','decription of food groupCereal Grains and Pasta'
'Fast Foods','decription of food groupFast Foods'
'Meals Entrees and Side Dishes','decription of food groupMeals Entrees and Side Dishes'
'Snacks','decription of food groupSnacks'
'American Indian/Alaska Native Foods','decription of food groupAmerican Indian/Alaska Native Foods'
'Restaurant Foods','decription of food groupRestaurant Foods'
'Branded Food Products Database','decription of food groupBranded Food Products Database'
'Quality Control Materials','decription of food groupQuality Control Materials'
'Alcoholic Beverages','decription of food groupAlcoholic Beverages'
