RecipeID,StepNumber,StepDescription
1,1,'Preheat the oven to 200C/180C Fan/Gas 6'
1,2,'Put the biscuits in a large re-sealable freezer bag and bash with a rolling pin into fine crumbs'
1,3,' Melt the butter in a small pan then add the biscuit crumbs and stir until coated with butter'
1,4,' Tip into the tart tin and using the back of a spoon press over the base and sides of the tin to give an even layer'
1,5,' Chill in the fridge while you make the filling'
1,6,'Cream together the butter and sugar until light and fluffy'
1,7,' You can do this in a food processor if you have one'
1,8,' Process for 2-3 minutes'
1,9,' Mix in the eggs then add the ground almonds and almond extract and blend until well combined'
1,10,'Peel the apples and cut thin slices of apple'
1,11,' Do this at the last minute to prevent the apple going brown'
1,12,' Arrange the slices over the biscuit base'
1,13,' Spread the frangipane filling evenly on top'
1,14,' Level the surface and sprinkle with the flaked almonds'
1,15,'Bake for 20-25 minutes until golden-brown and set'
1,16,'Remove from the oven and leave to cool for 15 minutes'
1,17,' Remove the sides of the tin'
1,18,' An easy way to do this is to stand the tin on a can of beans and push down gently on the edges of the tin'
1,19,'Transfer the tart with the tin base attached to a serving plate'
1,20,' Serve warm with cream crme fraiche or ice cream'
2,1,'Heat oven to 190C/170C fan/gas 5'
2,2,' Tip the flour and sugar into a large bowl'
2,3,' Add the butter then rub into the flour using your fingertips to make a light breadcrumb texture'
2,4,' Do not overwork it or the crumble will become heavy'
2,5,' Sprinkle the mixture evenly over a baking sheet and bake for 15 mins or until lightly coloured'
2,6,'Meanwhile for the compote peel core and cut the apples into 2cm dice'
2,7,' Put the butter and sugar in a medium saucepan and melt together over a medium heat'
2,8,' Cook for 3 mins until the mixture turns to a light caramel'
2,9,' Stir in the apples and cook for 3 mins'
2,10,' Add the blackberries and cinnamon and cook for 3 mins more'
2,11,' Cover remove from the heat then leave for 2-3 mins to continue cooking in the warmth of the pan'
2,12,'To serve spoon the warm fruit into an ovenproof gratin dish top with the crumble mix then reheat in the oven for 5-10 mins'
2,13,' Serve with vanilla ice cream'
3,1,'Mix milk oil and egg together'
3,2,' Sift flour baking powder and salt into the mixture'
3,3,' Stir well until all ingredients are combined evenly'
3,4,'Spread some batter onto the pan'
3,5,' Spread a thin layer of batter to the side of the pan'
3,6,' Cover the pan for 30-60 seconds until small air bubbles appear'
3,7,'Add butter cream corn crushed peanuts and sugar onto the pancake'
3,8,' Fold the pancake into half once the bottom surface is browned'
3,9,'Cut into wedges and best eaten when it is warm'
4,1,'In a blender add the ingredients for the spice paste and blend until smooth'
4,2,'Over medium heat pour the spice paste in a skillet or pan and fry for 10 minutes until fragrant'
4,3,' Add water or oil 1 tablespoon at a time if the paste becomes too dry'
4,4,' Dont burn the paste'
4,5,' Lower the fire slightly if needed'
4,6,'Add the cloves cardamom tamarind pulp coconut milk water sugar and salt'
4,7,' Turn the heat up and bring the mixture to boil'
4,8,' Turn the heat to medium low and simmer for 10 minutes'
4,9,' Stir occasionally'
4,10,' It will reduce slightly'
4,11,' This is the marinade/sauce so taste and adjust seasoning if necessary'
4,12,' Dont worry if its slightly bitter'
4,13,' It will go away when roasting'
4,14,'When the marinade/sauce has cooled pour everything over the chicken and marinate overnight to two days'
4,15,'Preheat the oven to 425 F'
4,16,'Remove the chicken from the marinade'
4,17,' Spoon the marinade onto a greased (or aluminum lined) baking sheet'
4,18,' Lay the chicken on top of the sauce (make sure the chicken covers the sauce and the sauce isnt exposed or itll burn) and spread the remaining marinade on the chicken'
4,19,' Roast for 35-45 minutes or until internal temp of the thickest part of chicken is at least 175 F'
